epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.955,2.10027,3.74076,2.28432,0.78064,0.06025,0.02401,0.00946,1.6149,3.9685,2.26214,0.0672063,0.00033125,0.00033125
2,556.08,1.69127,3.04912,1.98046,0.51496,0.16996,0.02111,0.01016,1.33513,3.1332,2.07761,0.0341997,0.000658004,0.000658004
3,820.553,1.5941,2.67065,1.85471,0.91282,0.17466,0.30588,0.16369,1.54512,2.07874,2.32322,0.00118649,0.000978158,0.000978158
4,1084.65,1.49238,2.43953,1.73852,0.44199,0.34654,0.28918,0.17108,1.3477,2.25313,2.00131,0.0009703,0.0009703,0.0009703
5,1349.17,1.4337,2.33119,1.69533,0.60422,0.53784,0.4958,0.35388,1.35906,1.70268,2.11185,0.0009604,0.0009604,0.0009604
6,1613.3,1.36319,2.12846,1.62934,0.83478,0.42193,0.49733,0.34301,1.26915,1.59882,1.99365,0.0009505,0.0009505,0.0009505
7,1877.38,1.35092,2.07032,1.61283,0.73208,0.57617,0.5151,0.38895,1.36889,1.54224,2.26722,0.0009406,0.0009406,0.0009406
8,2141.67,1.33941,2.00675,1.57702,0.70343,0.57523,0.57427,0.44583,1.13677,1.4421,1.82546,0.0009307,0.0009307,0.0009307
9,2406.36,1.27881,1.94235,1.55356,0.63461,0.60425,0.48839,0.30647,1.27348,2.16722,1.99953,0.0009208,0.0009208,0.0009208
10,2670.26,1.22639,1.88396,1.49645,0.72469,0.67294,0.59279,0.4097,1.17625,1.48071,1.88855,0.0009109,0.0009109,0.0009109
11,2934.33,1.21752,1.86321,1.50045,0.7478,0.63865,0.54385,0.46526,0.87895,1.76487,1.66624,0.000901,0.000901,0.000901
12,3199.33,1.2052,1.85616,1.48461,0.74516,0.68183,0.56284,0.38067,1.15907,1.66309,1.93367,0.0008911,0.0008911,0.0008911
13,3464.35,1.1913,1.78347,1.46676,0.88535,0.43412,0.48939,0.38479,1.00192,1.53895,1.85356,0.0008812,0.0008812,0.0008812
14,3728.46,1.1503,1.76532,1.43081,0.66268,0.66807,0.54183,0.40849,0.90086,1.4237,1.62917,0.0008713,0.0008713,0.0008713
15,3993.5,1.12267,1.67841,1.41908,0.94615,0.46684,0.56701,0.42967,1.11127,1.09875,1.93871,0.0008614,0.0008614,0.0008614
16,4257.94,1.14135,1.69086,1.41263,0.93799,0.46853,0.52319,0.35588,0.81055,1.59637,1.53284,0.0008515,0.0008515,0.0008515
17,4522.63,1.10995,1.68357,1.39871,0.80796,0.66812,0.67679,0.54303,0.70153,0.84993,1.47186,0.0008416,0.0008416,0.0008416
18,4786.58,1.11478,1.71016,1.42767,0.70558,0.71373,0.59996,0.5227,0.75594,1.4598,1.5559,0.0008317,0.0008317,0.0008317
19,5050.98,1.08359,1.69047,1.40451,0.93816,0.42451,0.50045,0.38119,1.02227,1.11497,1.83271,0.0008218,0.0008218,0.0008218
