epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.68,0,0,0,0,0,0,0,0,9.46235,0,0.000275119,0.000275119,0.000275119
2,949.132,0,0,0,0,0,0,0,0,0,0,0.000541841,0.000541841,0.000541841
3,1421.43,0,0,0,0,0,0,0,0,0,0,0.000797567,0.000797567,0.000797567
4,1894.46,0,0,0,0,0,0,0,0,2e-05,0,0.00078352,0.00078352,0.00078352
5,2368.87,0,0,0,0,0,0,0,0,5e-05,0,0.000767026,0.000767026,0.000767026
6,2843.29,0,0,0,0,0,0,0,0,0,0,0.000750533,0.000750533,0.000750533
7,3317.69,0,0,0,0,0,0,0,0,0.25431,0,0.00073404,0.00073404,0.00073404
8,3791.56,0,0,0,0,0,0,0,0,1.32627,0,0.000717546,0.000717546,0.000717546
9,4266.34,0,0,0,0,0,0,0,0,1.06512,0,0.000701053,0.000701053,0.000701053
10,4740.21,0,0,0,0,0,0,0,0,7.00928,0,0.000684559,0.000684559,0.000684559
11,5213.46,0,0,0,0,0,0,0,0,13.574,0,0.000668066,0.000668066,0.000668066
12,5687.2,0,0,0,0,0,0,0,0,3.00303,0,0.000651573,0.000651573,0.000651573
13,6161.36,0,0,0,0,0,0,0,0,7.40846,0,0.000635079,0.000635079,0.000635079
14,6634.16,0,0,0,0,0,0,0,0,0.46162,0,0.000618586,0.000618586,0.000618586
15,7107.99,0,0,0,0,0,0,0,0,9.28102,0,0.000602092,0.000602092,0.000602092
16,7580.16,0,0,0,0,0,0,0,0,0.00636,0,0.000585599,0.000585599,0.000585599
17,8053.88,0,0,0,0,0,0,0,0,0.01119,0,0.000569106,0.000569106,0.000569106
18,8526.21,0,0,0,0,0,0,0,0,0.54483,0,0.000552612,0.000552612,0.000552612
19,8998.64,0,0,0,0,0,0,0,0,6e-05,0,0.000536119,0.000536119,0.000536119
20,9470.64,0,0,0,0,0,0,0,0,0.00014,0,0.000519625,0.000519625,0.000519625
21,9943.46,0,0,0,0,0,0,0,0,4.61909,0,0.000503132,0.000503132,0.000503132
22,10415.8,0,0,0,0,0,0,0,0,0.06959,0,0.000486639,0.000486639,0.000486639
23,10889.1,0,0,0,0,0,0,0,0,3e-05,0,0.000470145,0.000470145,0.000470145
24,11363.5,0,0,0,0,0,0,0,0,0.00398,0,0.000453652,0.000453652,0.000453652
25,11839.5,0,0,0,0,0,0,0,0,0.46669,0,0.000437158,0.000437158,0.000437158
26,12312.5,0,0,0,0,0,0,0,0,0.14208,0,0.000420665,0.000420665,0.000420665
27,12789.4,0,0,0,0,0,0,0,0,0.45893,0,0.000404172,0.000404172,0.000404172
28,13264.8,0,0,0,0,0,0,0,0,1.70556,0,0.000387678,0.000387678,0.000387678
29,13737.6,0,0,0,0,0,0,0,0,1.4658,0,0.000371185,0.000371185,0.000371185
30,14212.4,0,0,0,0,0,0,0,0,0.03165,0,0.000354691,0.000354691,0.000354691
31,14685.4,0,0,0,0,0,0,0,0,0.1378,0,0.000338198,0.000338198,0.000338198
32,15160.5,0,0,0,0,0,0,0,0,0.01916,0,0.000321705,0.000321705,0.000321705
33,15633.3,0,0,0,0,0,0,0,0,0.00668,0,0.000305211,0.000305211,0.000305211
34,16129.4,0,0,0,0,0,0,0,0,0.19291,0,0.000288718,0.000288718,0.000288718
35,16606.6,0,0,0,0,0,0,0,0,2.23401,0,0.000272224,0.000272224,0.000272224
36,17080.2,0,0,0,0,0,0,0,0,1.68039,0,0.000255731,0.000255731,0.000255731
37,17554.4,0,0,0,0,0,0,0,0,0.03158,0,0.000239238,0.000239238,0.000239238
38,18027.8,0,0,0,0,0,0,0,0,0.00214,0,0.000222744,0.000222744,0.000222744
39,18500.7,0,0,0,0,0,0,0,0,0.0596,0,0.000206251,0.000206251,0.000206251
40,18973.5,0,0,0,0,0,0,0,0,3.60437,0,0.000189757,0.000189757,0.000189757
41,19446.5,0,0,0,0,0,0,0,0,0,0,0.000173264,0.000173264,0.000173264
42,19916.7,0,0,0,0,0,0,0,0,0,0,0.000156771,0.000156771,0.000156771
43,20386.6,0,0,0,0,0,0,0,0,0,0,0.000140277,0.000140277,0.000140277
44,20856.7,0,0,0,0,0,0,0,0,0,0,0.000123784,0.000123784,0.000123784
45,21326.4,0,0,0,0,0,0,0,0,0,0,0.00010729,0.00010729,0.00010729
46,21797.3,0,0,0,0,0,0,0,0,0,0,9.0797e-05,9.0797e-05,9.0797e-05
47,22269.2,0,0,0,0,0,0,0,0,0,0,7.43036e-05,7.43036e-05,7.43036e-05
48,22739.2,0,0,0,0,0,0,0,0,0,0,5.78102e-05,5.78102e-05,5.78102e-05
49,23209.2,0,0,0,0,0,0,0,0,0,0,4.13168e-05,4.13168e-05,4.13168e-05
50,23678.2,0,0,0,0,0,0,0,0,0,0,2.48234e-05,2.48234e-05,2.48234e-05
